State,Region,City,Year,Population,"Violent
crime",Nonviolent,Murder,Forcible rape,Robbery,Aggravated assault,Property,Burglary,Larceny/theft,Motor vehicle theft,Arson2
ARIZONA,WEST,CHANDLER    ,2010,258138,397,7829,3,25,107,278,3973,682,3251,289,42
ARIZONA,WEST,CHANDLER    ,2011,263301,405,7986,3,23,112,296,4052,743,3165,304,42
ARIZONA,WEST,CHANDLER    ,2012,268567,413,8146,3,24,117,299,4336,717,3351,305,43
ARIZONA,WEST,GLENDALE,2008,256659,635,13424,7,24,292,332,7159,1348,4223,1324,45
ARIZONA,WEST,GLENDALE,2009,256659,611,12534,6,31,270,361,6685,1436,4347,859,40
ARIZONA,WEST,GLENDALE,2010,261792,623,12785,6,32,256,355,6819,1437,4225,928,43
ARIZONA,WEST,GLENDALE,2011,267028,635,13041,6,33,263,376,6825,1480,4395,937,44
ARIZONA,WEST,GLENDALE,2012,272369,648,13302,6,33,276,352,7094,1496,4483,912,42
ARIZONA,WEST,MESA ,2008,456821,1165,18176,11,83,376,753,9611,1312,6729,1268,44
ARIZONA,WEST,MESA ,2009,456821,979,15900,5,62,307,622,8646,1552,6282,672,37
ARIZONA,WEST,MESA ,2010,465957,999,16218,5,66,313,659,8738,1523,6052,746,39
ARIZONA,WEST,MESA ,2011,475276,1019,16544,5,67,322,647,9078,1600,6597,747,41
ARIZONA,WEST,MESA ,2012,484782,1039,16875,5,65,332,713,9091,1616,6358,770,40
ARIZONA,WEST,PEORIA,2008,151493,171,5202,8,19,61,88,2623,624,1794,329,9
ARIZONA,WEST,PEORIA,2009,151493,152,5040,2,29,40,87,2744,684,1707,267,7
ARIZONA,WEST,PEORIA,2010,154523,155,5141,2,28,42,90,2721,659,1808,250,6
ARIZONA,WEST,PEORIA,2011,157613,158,5243,2,29,44,94,2697,705,1809,266,6
ARIZONA,WEST,PEORIA,2012,160765,161,5347,2,32,47,91,2777,732,1758,268,6
ARIZONA,WEST,PHOENIX ,2008,1585838,5316,86246,86,262,2618,2791,43441,10016,27552,8865,237
ARIZONA,WEST,PHOENIX ,2009,1585838,4566,65749,76,264,2123,2281,33402,8658,20348,5075,258
ARIZONA,WEST,PHOENIX ,2010,1617555,4657,67064,78,266,2166,2349,34404,8831,20755,5430,276
ARIZONA,WEST,PHOENIX ,2011,1649906,4750,68406,80,284,2167,2443,37136,8841,21786,5332,278
ARIZONA,WEST,PHOENIX ,2012,1682904,4845,69774,82,279,2190,2516,38226,9189,22641,5545,294
ARIZONA,WEST,SURPRISE,2008,101141,61,2592,0,3,24,36,1352,318,895,109,16
ARIZONA,WEST,SURPRISE,2009,101141,56,2316,0,5,19,36,1219,269,856,93,18
ARIZONA,WEST,SURPRISE,2010,103164,57,2362,0,5,19,34,1220,274,832,93,17
ARIZONA,WEST,SURPRISE,2011,105227,58,2408,0,5,20,38,1256,276,849,101,16
ARIZONA,WEST,SURPRISE,2012,107332,59,2456,0,5,20,39,1244,304,866,100,17
ARIZONA,WEST,TEMPE     ,2008,176388,433,10624,3,19,170,274,5616,814,4104,633,29
ARIZONA,WEST,TEMPE     ,2009,176388,444,8985,1,36,170,262,4786,784,3629,409,41
ARIZONA,WEST,TEMPE     ,2010,179916,453,9164,1,38,175,272,4608,831,3432,430,44
ARIZONA,WEST,TEMPE     ,2011,183514,462,9347,1,39,167,267,5072,856,3741,455,42
ARIZONA,WEST,TEMPE     ,2012,187184,471,9534,1,38,173,286,4983,889,3571,463,46
ARIZONA,WEST,TUCSON4,2008,528917,1996,5585,30,142,648,1214,0,2698,0,3062,194
ARIZONA,WEST,TUCSON4,2009,528917,1865,4512,9,99,691,1199,0,2752,0,1796,119
ARIZONA,WEST,TUCSON4,2010,539495,1902,4602,9,101,711,1189,0,2753,0,1923,125
ARIZONA,WEST,TUCSON4,2011,550285,1940,4693,9,107,732,1201,0,2808,0,1924,119
ARIZONA,WEST,TUCSON4,2012,561291,1979,4787,9,105,733,1225,0,2920,0,2076,130
ARKANSAS,MIDWEST,LITTLE ROCK5,2008,187978,1106,14687,15,59,357,711,8056,1810,5141,605,40
ARKANSAS,MIDWEST,LITTLE ROCK5,2009,187978,1378,15263,20,91,444,911,7985,2033,5132,606,56
ARKANSAS,MIDWEST,LITTLE ROCK5,2010,191738,1406,15568,20,96,448,946,8533,2217,5337,583,55
ARKANSAS,MIDWEST,LITTLE ROCK5,2011,195573,1434,15879,20,98,448,983,8545,2178,5497,595,57
ARKANSAS,MIDWEST,LITTLE ROCK5,2012,199484,1463,16197,20,102,440,939,8635,2243,5874,637,60
CALIFORNIA,WEST,ANAHEIM,2008,333746,623,8471,8,43,292,309,4603,868,2894,593,26
CALIFORNIA,WEST,ANAHEIM,2009,333746,574,7720,5,27,260,330,4120,693,2778,551,22
CALIFORNIA,WEST,ANAHEIM,2010,340421,585,7874,5,29,263,334,4045,674,2833,557,20
CALIFORNIA,WEST,ANAHEIM,2011,347229,597,8031,5,31,266,334,4326,728,2861,552,21
CALIFORNIA,WEST,ANAHEIM,2012,354174,609,8192,5,30,273,337,4168,743,3032,569,21
CALIFORNIA,WEST,ANTIOCH,2008,100702,437,2816,2,18,245,201,1429,470,634,384,15
CALIFORNIA,WEST,ANTIOCH,2009,100702,469,3018,3,20,179,285,1558,437,668,449,23
CALIFORNIA,WEST,ANTIOCH,2010,102716,478,3079,3,21,183,294,1589,472,707,468,23
CALIFORNIA,WEST,ANTIOCH,2011,104770,488,3141,3,21,194,309,1621,468,688,477,24
CALIFORNIA,WEST,ANTIOCH,2012,106865,498,3203,3,20,193,310,1654,464,708,496,23
CALIFORNIA,WEST,BAKERSFIELD,2008,326046,970,15210,10,28,376,618,8095,2017,4798,1268,86
CALIFORNIA,WEST,BAKERSFIELD,2009,326046,916,15369,12,32,337,563,8430,1920,4970,1226,44
CALIFORNIA,WEST,BAKERSFIELD,2010,332567,934,15677,12,31,365,585,8286,2015,4831,1286,44
CALIFORNIA,WEST,BAKERSFIELD,2011,339218,953,15990,12,33,376,597,8531,2093,4928,1228,43
CALIFORNIA,WEST,BAKERSFIELD,2012,346002,972,16310,12,34,366,631,8783,2116,5077,1228,48
CALIFORNIA,WEST,BERKELEY,2008,101170,303,7048,7,14,237,63,3762,538,2530,549,17
CALIFORNIA,WEST,BERKELEY,2009,101170,310,6619,4,18,223,84,3337,601,2579,391,12
CALIFORNIA,WEST,BERKELEY,2010,103193,316,6751,4,17,227,82,3505,568,2461,435,12
CALIFORNIA,WEST,BERKELEY,2011,105257,322,6885,4,18,233,82,3781,584,2584,411,12
CALIFORNIA,WEST,BERKELEY,2012,107362,328,7022,4,18,235,91,3681,607,2736,419,11
CALIFORNIA,WEST,BURBANK,2008,103640,120,2825,1,9,47,69,1462,260,997,258,14
CALIFORNIA,WEST,BURBANK,2009,103640,129,2630,1,13,43,82,1349,243,918,168,10
CALIFORNIA,WEST,BURBANK,2010,105713,132,2682,1,13,42,86,1376,265,1001,183,11
CALIFORNIA,WEST,BURBANK,2011,107827,135,2736,1,13,45,85,1404,258,1022,185,11
CALIFORNIA,WEST,BURBANK,2012,109984,138,2790,1,13,45,85,1446,256,994,179,11
CALIFORNIA,WEST,CHULA VISTA,2008,223408,419,6699,3,23,173,234,3610,530,1907,1103,14
CALIFORNIA,WEST,CHULA VISTA,2009,223408,372,5130,2,32,174,174,2813,455,1460,704,17
CALIFORNIA,WEST,CHULA VISTA,2010,227876,379,5232,2,33,183,174,2738,500,1561,746,17
CALIFORNIA,WEST,CHULA VISTA,2011,232434,387,5336,2,32,186,179,2687,505,1607,747,16
CALIFORNIA,WEST,CHULA VISTA,2012,237083,395,5441,2,33,183,183,2903,482,1608,754,18
CALIFORNIA,WEST,CONCORD,2008,120679,191,4477,5,8,89,97,2253,383,1438,528,15
CALIFORNIA,WEST,CONCORD,2009,120679,212,4176,1,8,115,98,2168,427,1252,545,6
CALIFORNIA,WEST,CONCORD,2010,123093,216,4260,1,8,118,96,2191,427,1326,551,6
CALIFORNIA,WEST,CONCORD,2011,125555,220,4345,1,8,125,101,2344,423,1340,578,6
CALIFORNIA,WEST,CONCORD,2012,128066,224,4432,1,8,127,97,2434,465,1304,552,6
CALIFORNIA,WEST,CORONA ,2008,153193,141,4638,4,13,75,56,2409,387,1702,343,7
CALIFORNIA,WEST,CORONA ,2009,153193,115,3743,4,10,64,48,1981,305,1407,288,5
CALIFORNIA,WEST,CORONA ,2010,156257,117,3817,4,9,60,47,1925,297,1462,282,5
CALIFORNIA,WEST,CORONA ,2011,159382,119,3893,4,10,61,48,2100,315,1491,287,6
CALIFORNIA,WEST,CORONA ,2012,162570,121,3971,4,10,66,50,2102,327,1451,314,5
CALIFORNIA,WEST,COSTA MESA ,2008,108898,145,3129,1,15,49,88,1669,250,1240,169,10
CALIFORNIA,WEST,COSTA MESA ,2009,108898,171,3331,0,13,64,107,1827,273,1421,124,9
CALIFORNIA,WEST,COSTA MESA ,2010,111076,174,3397,0,14,66,109,1846,284,1344,125,10
CALIFORNIA,WEST,COSTA MESA ,2011,113298,177,3464,0,14,64,109,1901,266,1371,121,10
CALIFORNIA,WEST,COSTA MESA ,2012,115564,181,3533,0,13,64,109,1904,276,1412,127,10
CALIFORNIA,WEST,DOWNEY,2008,108184,240,4219,3,9,149,100,2192,383,1184,699,3
CALIFORNIA,WEST,DOWNEY,2009,108184,228,3602,2,12,139,90,1963,269,1106,558,0
CALIFORNIA,WEST,DOWNEY,2010,110348,233,3674,2,12,143,92,1910,264,1085,527,0
CALIFORNIA,WEST,DOWNEY,2011,112555,238,3747,2,12,142,95,1986,264,1118,532,0
CALIFORNIA,WEST,DOWNEY,2012,114806,243,3822,2,11,145,93,2045,290,1118,570,0
CALIFORNIA,WEST,EL MONTE,2008,123049,343,2637,8,14,113,229,1363,326,682,344,15
CALIFORNIA,WEST,EL MONTE,2009,123049,359,3001,1,7,171,197,1542,385,813,392,8
CALIFORNIA,WEST,EL MONTE,2010,125510,366,3060,1,7,167,201,1603,411,805,370,7
CALIFORNIA,WEST,EL MONTE,2011,128020,373,3121,1,7,172,203,1589,396,869,377,8
CALIFORNIA,WEST,EL MONTE,2012,130580,380,3183,1,7,169,213,1748,412,895,415,7
CALIFORNIA,WEST,ELK GROVE,2008,139395,316,3550,0,10,70,258,1791,414,1232,207,4
CALIFORNIA,WEST,ELK GROVE,2009,139395,292,3465,2,6,80,218,1747,495,1050,239,5
CALIFORNIA,WEST,ELK GROVE,2010,142183,298,3535,2,6,86,225,1924,501,1143,237,5
CALIFORNIA,WEST,ELK GROVE,2011,145027,304,3606,2,6,86,227,1980,526,1081,242,5
CALIFORNIA,WEST,ELK GROVE,2012,147928,310,3678,2,6,90,222,2020,542,1103,252,5
CALIFORNIA,WEST,ESCONDIDO ,2008,136508,262,4088,3,20,99,161,2199,416,1226,443,16
CALIFORNIA,WEST,ESCONDIDO ,2009,136508,318,4037,1,28,131,179,2135,443,1301,367,9
CALIFORNIA,WEST,ESCONDIDO ,2010,139238,324,4117,1,29,134,179,2157,452,1289,396,10
CALIFORNIA,WEST,ESCONDIDO ,2011,142023,330,4199,1,30,127,179,2284,444,1380,389,9
CALIFORNIA,WEST,ESCONDIDO ,2012,144863,337,4282,1,30,132,183,2201,461,1461,411,10
CALIFORNIA,WEST,FAIRFIELD,2008,104927,266,4277,2,13,124,148,2346,403,1538,314,12
CALIFORNIA,WEST,FAIRFIELD,2009,104927,217,3565,2,13,95,117,1884,414,1192,230,12
CALIFORNIA,WEST,FAIRFIELD,2010,107026,221,3637,2,14,96,119,1849,396,1276,239,11
CALIFORNIA,WEST,FAIRFIELD,2011,109167,225,3710,2,13,98,123,1867,431,1253,237,12
CALIFORNIA,WEST,FAIRFIELD,2012,111350,230,3785,2,14,99,131,1980,412,1316,249,12
CALIFORNIA,WEST,FONTANA ,2008,189253,426,4723,5,17,160,263,2543,463,1299,737,14
CALIFORNIA,WEST,FONTANA ,2009,189253,383,4334,1,26,134,250,2229,506,1212,524,6
CALIFORNIA,WEST,FONTANA ,2010,193038,391,4421,1,27,146,253,2251,531,1224,505,7
CALIFORNIA,WEST,FONTANA ,2011,196899,399,4509,1,29,140,242,2386,531,1335,525,6
CALIFORNIA,WEST,FONTANA ,2012,200837,407,4599,1,29,153,257,2319,573,1299,536,6
CALIFORNIA,WEST,FREMONT ,2008,200964,317,5186,2,26,129,189,2795,558,1789,434,10
CALIFORNIA,WEST,FREMONT ,2009,200964,246,5650,0,20,102,141,3045,681,2027,310,12
CALIFORNIA,WEST,FREMONT ,2010,204983,251,5762,0,20,110,135,2904,701,2011,331,13
CALIFORNIA,WEST,FREMONT ,2011,209083,256,5877,0,21,106,146,3197,694,2090,319,13
CALIFORNIA,WEST,FREMONT ,2012,213265,261,5995,0,19,107,140,3112,715,2073,325,13
CALIFORNIA,WEST,FRESNO,2008,475723,1334,21653,21,52,493,830,11311,2118,7320,1970,112
CALIFORNIA,WEST,FRESNO,2009,475723,1484,21990,17,49,505,999,11500,2176,7671,1750,88
CALIFORNIA,WEST,FRESNO,2010,485237,1514,22430,17,53,550,1029,11953,2220,7680,1785,90
CALIFORNIA,WEST,FRESNO,2011,494942,1544,22879,17,52,546,1040,11850,2420,7538,1946,94
CALIFORNIA,WEST,FRESNO,2012,504841,1575,23337,17,53,536,1051,12436,2468,7840,1912,100
CALIFORNIA,WEST,FULLERTON,2008,132776,188,4198,1,21,63,110,2306,460,1485,214,6
CALIFORNIA,WEST,FULLERTON,2009,132776,264,3691,1,21,103,150,1877,416,1331,194,12
CALIFORNIA,WEST,FULLERTON,2010,135432,269,3766,1,22,103,161,2027,425,1397,191,11
CALIFORNIA,WEST,FULLERTON,2011,138141,274,3842,1,21,110,159,2011,438,1439,197,12
CALIFORNIA,WEST,FULLERTON,2012,140904,279,3919,1,21,112,161,1973,418,1495,198,11
CALIFORNIA,WEST,GARDEN GROVE,2008,165629,301,4065,2,11,141,165,2106,435,1353,340,15
CALIFORNIA,WEST,GARDEN GROVE,2009,165629,237,3456,4,13,90,141,1893,376,1175,264,14
CALIFORNIA,WEST,GARDEN GROVE,2010,168942,242,3524,4,14,92,145,1843,383,1221,269,15
CALIFORNIA,WEST,GARDEN GROVE,2011,172321,247,3594,4,13,89,147,1897,406,1177,290,14
CALIFORNIA,WEST,GARDEN GROVE,2012,175767,252,3666,4,13,89,151,1954,419,1190,279,15
CALIFORNIA,WEST,GLENDALE,2008,197182,180,4121,2,8,81,96,2122,321,1533,244,1
CALIFORNIA,WEST,GLENDALE,2009,197182,147,3563,0,3,65,90,1849,300,1408,195,7
CALIFORNIA,WEST,GLENDALE,2010,201126,150,3635,0,3,66,91,1832,323,1423,198,8
CALIFORNIA,WEST,GLENDALE,2011,205149,153,3708,0,3,64,90,1924,330,1452,200,7
CALIFORNIA,WEST,GLENDALE,2012,209252,156,3782,0,3,66,98,2000,312,1467,216,7
CALIFORNIA,WEST,HAYWARD,2008,140984,449,4643,3,27,305,143,2532,512,1148,761,39
CALIFORNIA,WEST,HAYWARD,2009,140984,354,4705,3,13,215,140,2361,563,1159,791,29
CALIFORNIA,WEST,HAYWARD,2010,143804,361,4799,3,13,219,149,2480,553,1203,822,31
CALIFORNIA,WEST,HAYWARD,2011,146680,368,4895,3,13,219,145,2457,569,1161,814,32
CALIFORNIA,WEST,HAYWARD,2012,149614,375,4994,3,12,226,151,2681,570,1229,871,35
CALIFORNIA,WEST,HUNTINGTON BEACH,2008,193241,195,4051,1,21,67,118,2140,369,1630,169,14
CALIFORNIA,WEST,HUNTINGTON BEACH,2009,193241,183,4202,1,21,63,105,2277,324,1638,152,26
CALIFORNIA,WEST,HUNTINGTON BEACH,2010,197106,187,4285,1,20,64,107,2174,356,1671,155,25
CALIFORNIA,WEST,HUNTINGTON BEACH,2011,201048,191,4370,1,20,65,111,2326,356,1738,166,25
CALIFORNIA,WEST,HUNTINGTON BEACH,2012,205069,195,4457,1,21,66,113,2350,340,1738,174,25
CALIFORNIA,WEST,IRVINE,2008,209278,57,3265,1,12,25,22,1653,241,1311,114,25
CALIFORNIA,WEST,IRVINE,2009,209278,81,3143,2,13,33,39,1596,287,1261,74,13
CALIFORNIA,WEST,IRVINE,2010,213464,83,3204,2,13,33,38,1676,279,1273,73,14
CALIFORNIA,WEST,IRVINE,2011,217733,85,3268,2,13,35,40,1775,288,1298,76,14
CALIFORNIA,WEST,IRVINE,2012,222088,87,3333,2,12,37,41,1810,308,1415,77,13
CALIFORNIA,WEST,LANCASTER,2008,147017,599,4794,2,37,183,403,2621,830,1367,278,29
CALIFORNIA,WEST,LANCASTER,2009,147017,515,3510,6,34,174,349,1759,649,923,255,27
CALIFORNIA,WEST,LANCASTER,2010,149957,525,3581,6,34,174,336,1866,662,959,268,29
CALIFORNIA,WEST,LANCASTER,2011,152956,536,3654,6,34,180,346,1940,689,969,256,29
CALIFORNIA,WEST,LANCASTER,2012,156015,547,3727,6,37,177,357,1886,716,979,279,32
CALIFORNIA,WEST,LONG BEACH ,2008,467055,1510,12754,19,68,707,770,6980,1513,3667,1562,68
CALIFORNIA,WEST,LONG BEACH ,2009,467055,1551,12404,28,72,649,875,6603,1651,3734,1252,68
CALIFORNIA,WEST,LONG BEACH ,2010,476396,1582,12652,29,72,701,884,6672,1731,3809,1254,69
CALIFORNIA,WEST,LONG BEACH ,2011,485924,1614,12904,30,76,682,877,7062,1637,3813,1291,66
CALIFORNIA,WEST,LONG BEACH ,2012,495642,1646,13162,31,76,695,937,6613,1702,3889,1256,70
CALIFORNIA,WEST,LOS ANGELES,2008,3850920,12986,99605,198,514,6882,6107,49769,9662,29272,11882,1127
CALIFORNIA,WEST,LOS ANGELES,2009,3850920,11617,86669,141,491,5865,5757,44187,8368,28036,8916,895
CALIFORNIA,WEST,LOS ANGELES,2010,3927938,11849,88402,144,510,6097,5762,47696,8789,28861,9712,895
CALIFORNIA,WEST,LOS ANGELES,2011,4006497,12086,90171,147,501,6219,5708,48650,9137,29439,9546,976
CALIFORNIA,WEST,LOS ANGELES,2012,4086627,12328,91974,150,516,6047,6110,46892,9407,30027,10105,950
CALIFORNIA,WEST,MODESTO ,2008,205750,744,10805,8,42,226,526,5544,1160,3838,780,41
CALIFORNIA,WEST,MODESTO ,2009,205750,747,10606,7,31,203,518,5489,1264,3651,681,54
CALIFORNIA,WEST,MODESTO ,2010,209865,762,10818,7,32,205,575,5653,1278,3794,708,52
CALIFORNIA,WEST,MODESTO ,2011,214062,777,11035,7,33,219,565,5931,1328,3619,757,57
CALIFORNIA,WEST,MODESTO ,2012,218343,793,11256,7,35,222,593,5994,1305,3728,758,58
CALIFORNIA,WEST,MORENO VALLEY,2008,195649,531,6072,5,43,299,230,3125,1118,1488,583,4
CALIFORNIA,WEST,MORENO VALLEY,2009,195649,478,6039,3,13,245,240,3257,1004,1678,504,7
CALIFORNIA,WEST,MORENO VALLEY,2010,199562,488,6159,3,14,257,231,3353,1004,1663,504,7
CALIFORNIA,WEST,MORENO VALLEY,2011,203553,498,6283,3,14,265,233,3452,1035,1730,518,7
CALIFORNIA,WEST,MORENO VALLEY,2012,207624,508,6409,3,14,260,250,3457,1117,1713,505,7
CALIFORNIA,WEST,MURRIETA,2008,105666,41,1542,1,3,10,29,832,214,501,107,2
CALIFORNIA,WEST,MURRIETA,2009,105666,55,1361,0,8,15,33,748,181,453,96,1
CALIFORNIA,WEST,MURRIETA,2010,107779,56,1388,0,8,15,36,763,190,445,103,1
CALIFORNIA,WEST,MURRIETA,2011,109935,57,1415,0,9,16,37,722,184,471,102,1
CALIFORNIA,WEST,MURRIETA,2012,112134,58,1444,0,8,15,37,736,186,454,103,1
CALIFORNIA,WEST,NORWALK ,2008,103612,293,2548,4,11,122,170,1359,236,717,395,8
CALIFORNIA,WEST,NORWALK ,2009,103612,210,2294,4,8,89,120,1233,225,619,395,10
CALIFORNIA,WEST,NORWALK ,2010,105684,214,2339,4,7,87,119,1235,218,637,388,11
CALIFORNIA,WEST,NORWALK ,2011,107798,218,2385,4,7,96,123,1200,229,656,388,11
CALIFORNIA,WEST,NORWALK ,2012,109954,222,2432,4,8,99,128,1236,244,657,391,10
CALIFORNIA,WEST,OAKLAND,2008,401587,3961,22049,62,165,1869,2162,11384,2136,4702,4770,168
CALIFORNIA,WEST,OAKLAND,2009,401587,3450,20217,48,181,1607,1906,10858,2334,4358,3762,110
CALIFORNIA,WEST,OAKLAND,2010,409619,3519,20621,49,191,1550,1944,10768,2381,4797,3872,122
CALIFORNIA,WEST,OAKLAND,2011,417811,3589,21033,50,191,1672,1854,10565,2452,4758,3841,123
CALIFORNIA,WEST,OAKLAND,2012,426167,3661,21454,51,203,1612,2060,11736,2575,4671,3955,117
CALIFORNIA,WEST,OCEANSIDE,2008,169502,393,4199,5,25,96,284,2280,403,1507,309,16
CALIFORNIA,WEST,OCEANSIDE,2009,169502,368,4135,1,31,101,262,2204,452,1512,223,16
CALIFORNIA,WEST,OCEANSIDE,2010,172892,375,4217,1,33,101,267,2269,443,1513,227,15
CALIFORNIA,WEST,OCEANSIDE,2011,176350,383,4301,1,34,109,273,2207,452,1558,235,16
CALIFORNIA,WEST,OCEANSIDE,2012,179877,391,4387,1,35,105,270,2361,457,1650,228,16
CALIFORNIA,WEST,ONTARIO,2008,172543,424,5537,2,35,187,208,2786,511,1713,668,22
CALIFORNIA,WEST,ONTARIO,2009,172543,380,5181,2,34,147,216,2653,538,1651,493,31
CALIFORNIA,WEST,ONTARIO,2010,175994,388,5286,2,34,153,227,2838,544,1717,523,33
CALIFORNIA,WEST,ONTARIO,2011,179514,396,5393,2,35,151,220,2708,529,1818,524,32
CALIFORNIA,WEST,ONTARIO,2012,183104,404,5501,2,35,151,224,2926,529,1854,529,32
CALIFORNIA,WEST,ORANGE,2008,134852,105,3164,1,5,50,56,1701,217,1233,233,15
CALIFORNIA,WEST,ORANGE,2009,134852,79,2605,2,3,31,47,1324,225,1034,150,10
CALIFORNIA,WEST,ORANGE,2010,137549,81,2657,2,3,32,49,1403,220,987,153,9
CALIFORNIA,WEST,ORANGE,2011,140300,83,2709,2,3,32,52,1377,233,1056,155,10
CALIFORNIA,WEST,ORANGE,2012,143106,85,2763,2,3,34,49,1446,231,1027,158,10
CALIFORNIA,WEST,OXNARD ,2008,186434,377,4146,4,9,217,167,2162,441,1453,271,31
CALIFORNIA,WEST,OXNARD ,2009,186434,392,4194,8,10,209,170,2282,370,1679,221,6
CALIFORNIA,WEST,OXNARD ,2010,190163,400,4278,8,10,228,182,2350,370,1635,225,6
CALIFORNIA,WEST,OXNARD ,2011,193966,408,4363,8,11,219,183,2397,370,1667,229,7
CALIFORNIA,WEST,OXNARD ,2012,197845,416,4451,8,11,221,180,2245,396,1685,244,6
CALIFORNIA,WEST,PALMDALE,2008,144109,437,3903,4,28,155,277,2078,545,1244,307,20
CALIFORNIA,WEST,PALMDALE,2009,144109,390,3738,2,16,125,251,1936,609,1052,254,15
CALIFORNIA,WEST,PALMDALE,2010,146991,398,3813,2,16,135,257,1956,604,1126,274,15
CALIFORNIA,WEST,PALMDALE,2011,149931,406,3889,2,16,134,262,2014,646,1137,282,15
CALIFORNIA,WEST,PALMDALE,2012,152930,414,3966,2,16,133,275,2174,665,1105,277,14
CALIFORNIA,WEST,PASADENA,2008,144545,316,4185,1,7,157,170,2129,431,1546,195,11
CALIFORNIA,WEST,PASADENA,2009,144545,238,4045,3,11,99,130,2036,406,1527,173,13
CALIFORNIA,WEST,PASADENA,2010,147436,243,4125,3,10,105,139,2179,414,1616,188,14
CALIFORNIA,WEST,PASADENA,2011,150385,248,4207,3,11,110,147,2265,447,1543,181,14
CALIFORNIA,WEST,PASADENA,2012,153393,253,4290,3,10,107,146,2203,447,1666,186,14
CALIFORNIA,WEST,POMONA,2008,153201,553,5058,7,22,242,318,2550,609,1442,630,8
CALIFORNIA,WEST,POMONA,2009,153201,473,3920,9,26,162,305,2050,391,1243,431,17
CALIFORNIA,WEST,POMONA,2010,156265,482,3997,9,26,170,303,2110,413,1292,452,17
CALIFORNIA,WEST,POMONA,2011,159390,492,4078,9,29,167,307,2234,414,1221,470,17
CALIFORNIA,WEST,POMONA,2012,162578,502,4160,9,29,185,307,2196,431,1270,484,17
CALIFORNIA,WEST,RANCHO CUCAMONGA ,2008,176307,213,3911,1,7,75,139,2146,347,1494,264,9
CALIFORNIA,WEST,RANCHO CUCAMONGA ,2009,176307,147,3767,1,11,54,88,1897,425,1248,273,11
CALIFORNIA,WEST,RANCHO CUCAMONGA ,2010,179833,150,3842,1,11,54,90,2108,425,1298,276,11
CALIFORNIA,WEST,RANCHO CUCAMONGA ,2011,183430,153,3918,1,10,57,95,2091,446,1311,266,12
CALIFORNIA,WEST,RANCHO CUCAMONGA ,2012,187099,156,3996,1,11,54,96,2073,460,1363,289,12
CALIFORNIA,WEST,RIALTO,2008,99485,275,1905,5,11,110,166,1007,277,354,380,6
CALIFORNIA,WEST,RIALTO,2009,99485,271,2645,5,8,127,144,1371,372,653,326,9
CALIFORNIA,WEST,RIALTO,2010,101475,276,2697,5,8,131,147,1384,376,686,336,9
CALIFORNIA,WEST,RIALTO,2011,103505,282,2751,5,8,125,148,1467,373,713,339,10
CALIFORNIA,WEST,RIALTO,2012,105575,288,2805,5,9,127,156,1440,399,734,367,10
